added_by,artist,award,banner,description,downloads,host,listens,official,rating_count,rating_score,release_date,title,tracks,views
flybeats09,Snow Tha Product,Silver,exclusive,"New mixtape from Snow Tha Product ""The Rest Comes Later""",64785,,144733,1,658,97,06/30/2015,The Rest Comes Later ,15,486973
el presidente,Bow Wow,Silver,exclusive,"THE GREEN LIGHT 2 OFFICIALLY DROPPING JANUARY 4TH HERE ON DATPIFF.COM & HNHH. The highly anticipated mixtape from new Young Money / Cash Money artist and Hip Hop vet BOW WOW.  Shouts to @DeejayILLWILL, @RealDjRockstar & @Bowwow614",64074,Dj Ill Will & Dj Rockstar,155649,1,455,85,08/24/2009,The Green Light,24,433741
flybeats09,Blac Youngsta,Silver,sponsored,"New project from Yo Gotti's CMG artist Blac Youngsta ""I Swear To God""",64099,Cocaine Muzik Group,216537,1,364,85,09/24/2015,I Swear To God,17,399838
flybeats09,Jeremih,Silver,sponsored,"To celebrate his birthday today, Jeremih unleashed his collaborative project with producer ""Shlohmo."" The 6 track EP's sole feature is Chance The Rapper.",64184,Shlohmo,79505,1,200,89,07/17/2014,No More Ep,6,325393
Edcasey,Lil Wayne,Bronze,,"This is a Exclusive CanYouRap.com / Lil Wayne Mixtape. Join CanYouRap.com today for free & Submit music, videos, pictures, news, & Rumors for your chance to win some money. CanYouRap.com",37953,Lil Wayne / CanYouRap.com,261225,0,197,92,04/14/2009,Lil Wayne: Canyourap.com,23,597137
Da_ChiiNk,Young Dro,Bronze,sponsored,"New mixtape from Young Dro ""Ralph Lauren Reefa"" hosted by DJ Burn One. Follow @DroPolo",37961,DJ Burn One,45025,1,139,93,09/26/2012,Ralph Lauren Reefa,13,168044
flybeats09,Charli Brown Beatz,Bronze,exclusive,Producer Charli Brown drops another set of unreleased instrumentals exclusively here on datpiff.com Follow him at @Charli_Brown,37970,,137855,1,167,83,06/25/2013,Unreleased Instrumentals,9,287372
youngdro,Young Dro,Bronze,exclusive,"Young Dro presents his newest offering ""Phoenix"" Purchase here: https://itunes.apple.com/us/album/phoenix/id1117206383",37999,,114737,1,395,80,05/27/2016,Phoenix,9,263031
305Mayor,Trick Daddy,Bronze,sponsored,"New mixtape from Trick Daddy ""Dick & Dynamite"". Follow @305Mayor",38079,,44801,1,118,90,07/06/2012,Dick & Dynamite,22,174019
ErnestGQ2013,Bryson Tiller,Bronze,,,38090,Ernest GQ,159356,0,411,87,02/21/2016,Bryson Tiller (the Singles),10,386902
flybeats09,Various Artists,Bronze,exclusive,"HipHopEarly.com x DatPiff.com present ""Hip Hop Early Vol 15"" hosted by DJ Reddy Rell & DJ 5150. Vol 15 features the hottest tracks out in the past week (Sept 4 - Aug 10). Look out for Vol 16 next week and visit HipHopEarly.com for new music EARLY! Follow @HipHopEarly @DJReddyRell @DJ5150br",38096,"DJ Reddy Rell, DJ 5150 & HipHopEarly.com",44009,0,65,86,09/11/2012,Hip Hop Early Vol 15,22,180138
WESTSIDEGUNN,Westside Gunn,Bronze,exclusive,"Westside Gunn x DJ Green Lantern present ""Hitler On Steroids""",38114,DJ Green Lantern,178472,1,868,86,03/08/2017,Hitler On Steroids,24,434822
IAmMixtapes,Brianna Perry,Gold,exclusive,"New mixtape from Brianna Perry ""Symphony No. 9: The Collection""",103318,,107488,1,135,90,03/08/2013,Symphony No. 9: The Collection,16,7858549
gotinstrumental,Instrumentals,Bronze,exclusive,Gotinstrumentals.com Presents: Got Instrumentals 34: Smokin Edition - (ARTISTS IF YOU WOULD LIKE TO BY A BEAT PLEASE CONTACT THE PRODUCER)PRODUCERS: SUBMIT BEATS FOR THE NEXT GOT INSTRUMENTAL MIXTAPE AT WWW.GOTINSTRUMENTALS.COM & follow us on twitter @gotinstrumental.,38122,@gotinstrumental,75746,0,48,94,03/16/2012,Got Instrumentals 34: Smokin Edition,62,248776
MrFeatured,Tech N9ne,Gold,sponsored,New mixtape from Tech N9ne hosted by DJ Whoo Kid & DJ Scream. Presented by XXL,103364,DJ Whoo Kid & DJ Scream,103712,1,653,95,12/23/2010,Bad Season,18,372119
warlord82,"Bob Marley, The Wailers",Silver,,,61270,"DJ WAR, MURDA SQUAD SOUND",98900,0,265,95,02/07/2010,The Best Of Bob Marley - Crown Me The King Of Reggae Vol. 1,20,318522
Da_ChiiNk,Larry Fisherman (Mac Miller),Silver,sponsored,"Mac Miller is back as Larry Fisherman with his latest project, Run On Sentences Vol. 1, and instrumental mixtape. An eight beat tape, which does also have a few verses.",61315,,92099,1,450,96,03/04/2013,Run On Sentences Vol. 1,8,344342
Da_ChiiNk,Snoop Dogg & Tha Dogg Pound,Silver,sponsored,"Big Snoop Dogg aka Snoop Lion takes a short rest from the Reggae riddums & revisits Rap with the DPG family to bring you “That’s My Work Vol. 1″! All new bangin tracks for the G’z & Hustlaz who are always on the grind. Mixtapes includes features from Daz, Kurupt & Soopafly (DPG), Dom Kennedy, Hustle Boyz, & many more..",61370,,55138,1,185,96,12/02/2012,That's My Work Vol. 1,19,247502
DjBenzi,XV,Silver,sponsored,"Check out:
TheCoolniverse.com
Myspace.com/XtotheVizzy
Twitter.com/XtotheV",61371,"DJ Enuff, DJ Benzi",65849,1,347,97,08/01/2009,Everybody's Nobody,20,283860
IAmMixtapes,Ice Berg,Bronze,exclusive,"This is Miami artist Ice ""Billion"" Berg's most recent Mixtape, with features from Trick Daddy, Ace Hood, Shawty Lo, Jimmy Dade, 64 Chris, Tom G, Ball Greezy and Shonie

For Booking Contact Coach at (786) 290-8187

Mixed/Mastered by @JonEngineer
www.JonMcCarter.com",36692,,71784,1,249,74,10/19/2011,MR. L.I.V.E. 2.5 ,20,210948
Happys_Sis,Kirko Bangz,Bronze,sponsored,A Young Star Fresh Outta Prairie View A&M University. & Yes Yah Boy Is A Beast.,36696,DJ HiDef,37989,1,64,89,07/05/2009,Procrastination Kills,18,193215
Share,Gucci Mane,Bronze,,,36698,The Empire,275033,0,161,96,09/11/2007,Bird Flu,25,0
IAmMixtapes,Trav,Bronze,exclusive,"New mixtape from Trav ""Push""",36723,,31330,1,127,87,11/06/2012,Push,16,135599
el presidente,Phreshy Duzit,Bronze,exclusive,"New mixtape from Phreshy Duzit ""The New Religion""",36772,,23323,1,49,92,08/27/2012,The New Religion,17,70618
txlseries3,Various Artists,Bronze,,*****Artists: Submit your music for placement on the mixtape series and Spotify to HipHopTXL.com/Submit!***** The TXL series brings you the latest and greatest tracks in Hip Hop! Check our latest list on TXL 13! Hosted by @DJReddyRell x @TheDJIceberg and @DJHARDHITTA! Follow @HipHopTXL on all major social platforms. Stream our playist on Spotify! Visit HipHopTXL.com!,36697,@DJReddyRell x @DJHARDHITTA x @TheDJIceberg x @HipHopTXL,325171,0,172,85,11/21/2019,TXL 13,56,304086
iceberg dunk ryders,Ice Berg ,Bronze,sponsored,,36786,,64629,1,201,99,03/01/2011,MR. L.I.V.E. 2,18,176727
gotinstrumental,Instrumentals,Bronze,exclusive,"GotInstrumentals.com presents the compilation instrumental volume 49. Follow @GotInstrumental on twitter for ""5"" more Exclusive BEATS",36789,Got Instrumentals,57676,0,30,83,02/07/2014,Got Instrumentals 49,44,211587
SMRadioMixtapes,"Snoop Dogg, Wiz Khalifa, Bob Marley",Bronze,,This for everyone celebrating 4-20! #RollUp,36791,"Self Made Radio, DJ Goonie",39959,0,51,86,04/20/2012,4-20,16,206211
Da_ChiiNk,Jacquees ,Gold,sponsored,"New mixtape from Jacquees ""Que Mix 2""",100358,,275791,1,584,93,01/06/2015,Que Mix 2,15,607059
Da_ChiiNk,Migos & Rich The Kid,Gold,sponsored,"New mixtape from Migos & Rich The Kid ""Streets On Lock"" hosted by DJ Victoriouz, Cory B & DJ Ray G. Follow @MigosATL & @IAmRichTheKid",100326,"DJ Victoriouz, Cory B & DJ Ray G",108042,1,237,88,08/03/2013,Streets On Lock,25,483541
Da_ChiiNk,Chance The Rapper,Gold,,"An early mixtape from Chicagoan emcee and SAVEMONEY solider Chance The Rapper, discovered on a defunct Facebook page this morning. Although details are scarce, this tape dropped approximately 3-5 years ago, and it's a welcome glimpse into the beginnings of one of the game's most promising young artists.",100374,,123052,1,446,96,12/11/2013,Good Enough,9,493234
flybeats09,Omelly,Silver,exclusive,"New mixtape from Dream Chasers' Omelly ""Gunz And Butter""",58680,,96425,1,157,91,09/09/2014,Gunz And Butter,19,305871
HighAzFvck,Meek Mill,Silver,,"It has been nearly 8 months since we heard a project form the Maybach Music rapper Meek Mill. His latest mixtape ""Dreamchasers 3"" have kept fans happy but most of them have been awaiting the follow up to his 2012 studio album ""Dreams & Nightmares"". Luckily for fans the Philadelphia native just announced his plans to release his sophomore album this summer titled ""Dreams Worth More Than Money"". Hopefully the 24 tracks below can keep you pleased till we hear more news about the album dropping and also give you a ""preview"" to the sound Meek Mill might bring to the album. Be sure to keep up-to-date with Meek Mill as he drops singles off the album and while you wait you can go check out all his other solid mixtapes. Meek Milly!",58735,,59807,0,60,88,03/14/2014,Dreams Worth More Than Money: The Preview,25,280463
txlseries2,Various Artists,Silver,,For all Hip Hop TXL inquires contact: TXLreview@gmail.com. Follow @HipHopTXL x @DJReddyRell x @TheDJIceberg.,58665,@DJReddyRell x @TheDJIceberg x @HipHopTXL,276139,0,581,91,12/10/2017,Hip Hop TXL Vol 96,78,509164
AM3RiKANBADGiRL,NICKI MINAJ,Bronze,,,35728,PRETTIE MEME,90360,0,162,96,06/09/2009,The Best Of Nicki Minaj,35,280238
Share,Gucci Mane,Bronze,,,35730,Supastar J. Kwik,222782,0,181,93,11/12/2007,No Pad No Pencil,20,0
MeetHisStudents,Frank Ocean,Bronze,,"From the release of nostalgia, ULTRA on Feb 18, 2011 and the impending July 17, 2012 release of channel ORANGE, Frank Ocean has kept a low and mysterious profile. That’s why today we bring you “The Best of Frank Collection”, a compilation of 24 tracks that includes all the music you need to listen to before channel ORANGE drops.",35741,FrankOcean.net,102625,0,124,83,06/18/2012,The Best Of Frank Ocean,23,360282
Share,Lloyd Banks,Bronze,,,35753,,182680,0,238,97,12/07/2005,The best of Lloyd Banks Vol. 1,40,318027
lildurk,Lil Durk,Bronze,,,35758,,507912,1,1574,84,08/02/2019,Love Songs For The Streets 2,16,563097
ReddyRell,Various Artists,Bronze,exclusive,"The Exclusive List presents ""Hip Hop TXL Vol 2"" hosted by DJ Reddy Rell. Vol 2 features the hottest tracks out in the past week (march 28 - March 6), plus premier singles by TXL artists Tabius Tate x I Am Triggy. Follow @DJReddyRell @TabiusTate @Iam_Triggy...Go to HipHopTXL.com for Complete Download.",35807,DJ Reddy Rell,45246,0,40,90,03/06/2013,Hip Hop TXL Vol 2,24,220762
The_Connect,French Montana,Bronze,sponsored,,35839,"Evil Empire, Big Mike",65227,1,136,95,02/24/2009,The Laundry Man,19,205199
AdamRaulliMusic,Earl Sweatshirt,Bronze,,Classic hits from Earl Sweatshirt. OFWGKTA Twitter - @acr0123,35879,,50718,0,157,97,11/11/2011,Sweatshirt,8,245891
AloxNJ,Don Trip,Bronze,sponsored,New mixtape from Don Trip. Follow on twitter: www.twitter.com/MrDonTrip,35880,,36872,1,93,91,08/30/2011,iHEARTStrippers,15,155499
illpath,Fred The Godson,Bronze,sponsored,"Fred the Godson highly anticipated mixtape with featured guest Busta Rhymes, Cam'ron, Waka Flaka, Styles P",35895,,57695,1,182,91,11/30/2010,Armageddon,19,191888
IAmMixtapes,Fiend & Cookin Soul,Bronze,exclusive,"Cookin Soul & Jet Life Recordings present 
Fiend aka International Jones ""IRON CHEF"" mixtape
featuring Curren$y, Daz & Kurupt, Trademark da Skydiver and more...
all tracks produced, mixed & mastered by Cookin Soul
www.CookinSoul.com
www.SleepyBearTees.com
@CookinSoul
@Fiend4daMoney",35895,,42932,1,150,93,04/19/2012,Iron Chef,9,244434
Biggy Jiggy Mixtapes,Various Artists,Bronze,sponsored,Follow us @BiggyJiggy Twitter/Instagram,35918,Biggy Jiggy Mixtapes,49149,0,48,79,04/26/2012,Exclusive Tunes 3D 7,36,163672
ThuggerThugger1,Young Thug,Silver,sponsored,"Young Thug ""I Came From Nothing 3"" hosted by DJ Swamp Izzo",56135,DJ Swamp Izzo,101051,1,183,74,03/14/2014,I Came From Nothing 3,22,422468
Projectpat,Project Pat,Silver,exclusive,"Project Pat presents the 4th installment to his ""Street God"" series",56212,,199964,1,837,90,11/16/2016,Street God 4,14,423252
flybeats09,"YG, Blanco & DB Tha General",Silver,exclusive,"New project from Cookin Soul featuring YG, Blanco & DB Tha General ""California Livin"" Hosted by DJ Drama.",56273,DJ Drama & Cookin Soul,184178,1,191,88,09/24/2015,California Livin,13,448638
GoonNationEnt,Stunna Quad,Bronze,sponsored,"GoonBoss ""Stunna Quad"" & Super Producer ""Wicho Beatz"" collab on this Hot EP....",34652,Goon Nation Ent,34038,0,526,92,04/21/2019,The Mexican Plug,7,72577
YUNGSAV305,21 SAVAGE,Bronze,,21 21 21,34661,,155668,0,598,87,09/07/2016,21 Gang ,40,347651
cloman19,2 Chainz Future Rick Ross Drake ,Bronze,sponsored,Rate Download Follow on Twitter@Dj_Crich/@TheREALNEEB,34679,C RICH (FOLLOW ME ON TWITTER)@DJ_CRICH @TheRealNeeb,43908,0,95,79,05/04/2012,Smokefest 10 Kush & Lean Edition,22,196617
Omizzle,Jahlil Beats,Bronze,exclusive,"New mixtape from Roc Nation Producer JAHLIL BEATS ""Genius""",34695,,73611,1,72,92,09/10/2013,Genius,10,241855
cloman19,"Lil Wayne,Rick Ross,Wiz Khalifa, Jeezy, Drake",Bronze,sponsored,"Rate and download follow on twitter 
)@DJ_CRICH @TheRealNeeb",34737,DJ_CRICH @TheRealNeeb,52357,0,134,80,03/16/2012,Smokefest Vol 8 High Life Edition,23,186725
Omizzle,GLC & Get Gwop,Bronze,exclusive,New mixtape from GLC x Get Gwop,34819,,36468,1,114,95,04/24/2013,The Pulpit,15,134118
djflexman,Trey Songz,Bronze,,The Best of Trey Songz...,34831,DJ Flexman,86805,0,144,92,12/29/2011,"""The Best Of Trey Songz"" Vol. 1",35,266572
HarisAmilli,French Montana,Bronze,sponsored,"""Best Of French Montana"" complication mixtape put together by @HarisAmilli & @DJGrady",34838,Haris Amilli & DJ Grady,51615,0,64,94,06/13/2013,Best Of French Montana,39,172361
coast2coastmixtapes,Brisco,Bronze,sponsored,"Coast 2 Coast Mixtapes/Cash Money/Poe Boy Present: Brisco - 21 Jump Street (Mixtape). Feat. Brisco, Billy Blue, Lil Wayne, Rick Ross, Ball Greezy, Mack Main, Birdman, Trav Falcone (winner of Brisco REMIXtape Contest & More!",34841,Coast 2 Coast Mixtapes,56733,1,132,95,05/25/2011,21 Jump Street,18,176781
snoopdogg,Marcosus,Bronze,exclusive,"Snoop Dogg & Doggystyle Records present ""Young Doggystyle Compilation Vol 1""",34858,Snoop Dogg,106780,1,238,84,10/01/2016,Young Doggystyle Compilation Vol 1,23,228477
Share,Styles P,Bronze,,,34851,DJ Trigga,181278,0,183,96,09/19/2006,Best of Styles P Freestyles,41,312058
VADO,Vado,Bronze,exclusive,"HAPPY HALLOWEEN! New project from VADO ""Sinatra 2.5"" available now!",34870,We The Best,141110,1,710,82,10/31/2017,Sinatra 2.5,8,331572
yungbans,Yung Bans,Silver,,"New mixtape from Yung Bans ""MISUNDERSTOOD"" available now on DatPiff!",53754,,34500,1,280,68,07/24/2019,MISUNDERSTOOD,19,60645
LilBtheBasedGod,"Lil B ""The BasedGod""",Silver,exclusive,"THIS IS A VERY RARE COLLECTERS TAPE FROM LIL B! THE MOST BASED MUSIC COLLECTERS! FEAT HITS SUCH AS ""BITCH MOB GANGSTER"" ""TEXAS"" ""THE TRUTH""",53770,Bitch Mob,63473,1,381,83,04/25/2012,Trapped In Basedworld,14,284775
Share,Lloyd Banks,Silver,,,54096,DJ Whoo Kid,240624,1,483,94,05/27/2006,Mo Money In The Bank Pt 4,22,401520
Da_ChiiNk,Rich Kidz,Bronze,sponsored,"New mixtape from Rich Kidz ""Straight Like That 3"" hosted by DJ Scream & DJ Spinz. Follow @RichKidz4L",33783,DJ Scream & DJ Spinz,21228,1,82,90,11/17/2012,Straight Like That 3,15,131241
IAmMixtapes,XV & The Squarians,Bronze,exclusive,"New mixtape from XV & co. (Freddy High, Sez Batters & The Awesome Sound) ""Squarians Vol. 1""",33814,,31093,1,127,95,10/19/2012,Squarians Vol. 1,15,163659
DJTECNINE,"DJ Tecnine, Dj Pistolero - Old School Reggae Artist",Bronze,,ALSO DOWNLOAD REGGAE NATION 2014 - http://www.datpiff.com/Dj-Tecnine-Reggae-Nation-2014-mixtape.591161.html,33792,@DJTecnine - @DJPistolero,92310,0,171,94,07/25/2010,Dancehall Reggae Throwback,45,246102
juelzsantana,Juelz Santana,Bronze,exclusive,"New project from Juelz Santana #FREESANTANA featuring Lil Wayne, Jim Jones, 2 Chainz, Belly & more!",33821,,240460,1,1255,87,03/03/2020,#FREESANTANA,10,383106
DJRickDaRuler,Rick Ross,Bronze,,New Music From Rick Ross Of Maybach Music Hosted By Rick DaRuler Mixtapes! The Sequel To Rick Porter. Follow Rick DaRuler @DJRickDaRuler To Keep Up To Date With New Music! Email Rick DaRuler For Business Inquiries At DJRickDaRuler@gmail.com,33826,@DJRickDaRuler,31505,0,20,90,05/12/2014,Rick Porter 2,21,139626
gotinstrumental,Kanye West,Bronze,,Go to Gotinstrumentals.com to get free instrumental mixtapes,33835,Gotinstrumentals.com,75779,0,58,90,12/06/2010,My Beautiful Dark Twisted Fantasy Instrumental Only Album,18,272624
hueymack,Huey Mack,Bronze,sponsored,"Add on facebook.com/hueymack
twitter.com/hueymack
or Like the facebook fanpage http://www.facebook.com/pages/Huey-Mack/23161901910",33836,,27043,0,138,89,10/10/2010,Bright Lights And Long Nights,21,127171
KiDHeRB,KiD HERB,Bronze,,"Follow on twitter @Herbskii
Youtube.com/TheKidHerb",33874,,5516,0,2,0,09/08/2012,'91 Genius,14,34298
Share,Max B,Bronze,,,33840,DJ Lazy K,112144,1,203,87,06/09/2008,Million Dollar Baby 2 5 (Da Appetizer),26,317904
DiceStarr,DiceStarr,Bronze,sponsored,New MixTape From DiceStarr K.O.T Hosted By Dj Drama.,33885,Dj Drama,24222,0,32,78,11/15/2012,K.O.T King Of Trappin,18,142263
flybeats09,Hell Rell,Bronze,exclusive,Streets Wanna Know Vol 2 from Hell Rell hosted by DJ Superstar Jay,33910,DJ Superstar Jay,46299,1,211,93,02/14/2013,Streets Wanna Know 2: Valentines Day Massacre,15,189891
flybeats09,Lil Wayne,Bronze,sponsored,Lil Wayne blends from DJ Simon Sez,33927,DJ Simon Sez,89277,0,166,92,07/11/2011,Blending Dwayne Carter,30,208509
Share,"Lil Wayne, Juelz Santana",Bronze,,,33914,2die4mixtap3es,264937,0,149,93,09/12/2006,Face Off,28,356646
trouble,Trouble,Silver,sponsored,"Trouble presents his newest offering ""Skoobzilla""",51842,,257990,1,644,85,05/05/2016,Skoobzilla,14,470127
LilBtheBasedGod,"Lil B ""The BasedGod""",Silver,exclusive,"WOW LIL B IS BACK WITH ALL NEW UNRELEASED #BASED MUSIC!!! COLLECT THIS #RARE MATERIAL RECORDED STRAIGHT FROM BASEDWORLD STUDIOS.

LOVE AND RESPECT

HTTP://www.youtube.com/LILBPACK1",51861,The BasedGod,71642,1,467,82,03/10/2011,Illusions Of Grandeur Mixtape,13,275033
UrWelcome,Maybach Music Group,Silver,exclusive,The 4th Installment of the Infamous MMG Concrete Jungle Series! Tune In!!!,51922,"DJ Hood, DJ Flatline, DJ Grady",50672,0,54,98,01/31/2013,Concrete Jungle 4,26,183462
Trackkmasterz88,Lil Wayne,Bronze,,"New Release of the 4th Installment of Lil Wayne & The @TrackkMasterz Mixtape Seris (The Drought Is Back IV) ""Rise Of An Empire"" March 11th",33146,Trackkmasterz,36535,0,27,74,03/07/2014,The Drought Is Back IV,14,166033
